id_cliente;identificacion
1;2890566425
2;7064193442
3;6493605175
4;9889412307
5;3337695518
6;4421496553
7;6034441592
8;6667978963
9;7127182197
10;1242771944
11;1389199107
12;9431188114
13;1437317770
14;3458888602
15;4978917162
16;6932924958
17;8344392756
18;2625811398
19;5190100341
20;6089985873
21;9033671353
22;9342366393
23;6947558203
24;4149250131
25;7245639549
26;5482447491
27;7562855290
28;1220354805
29;3903250368
30;1500960323
31;6517793953
32;1824326847
33;8643594337
34;5462222445
35;8389416149
36;8000932291
37;7046461711
38;1393967612
39;8254366444
40;6977984945
41;8710305106
42;7415559116
43;1710562924
44;2080879823
45;7732328473
46;4504619775
47;9173189485
48;1101933270
49;1937587650
50;6463078278
51;7999240826
52;3826420402
53;6167282297
54;4208912962
55;8963855104
56;1982833526
57;9405171677
58;9494459778
59;7029925493
60;3911441668
61;7822222237
62;2380803216
63;3232825068
64;2549220142
65;9661059210
66;6292867789
67;6598959380
68;7437457350
69;3503407273
70;5398252278
71;6726118953
72;8798111859
73;1587947361
74;9546223730
75;7599369976
76;3323027258
77;7186972210
78;6082198331
79;4387272773
80;3872499098
81;5299865880
82;1691433695
83;9481383912
84;4914696334
85;5480519887
86;5852404908
87;8647128259
88;3881073070
89;4279250081
90;2465723868
91;1553979752
92;9975814027
93;7553447652
94;3126228919
95;7607210196
96;8841020805
97;9712643866
98;9696924233
99;1946369167
100;4350674596
101;3697406400
102;3863410879
103;5170708905
104;9620245163
105;5248423043
106;3456122309
107;6788440623
108;7296217787
109;9978479740
110;9259830988
111;5060362261
112;6832986016
113;1915540515
114;3882800791
115;7683962177
116;6355686544
117;6010541129
118;4594693595
119;4460334218
120;2016712367
121;9217599257
122;9019579412
123;8427420423
124;1849270766
125;7490849666
126;4997271193
127;3360185386
128;6072476260
129;1313765650
130;5634099451
131;3725271086
132;4328795682
133;8568008647
134;5074426009
135;1189264734
136;4274195164
137;2916598770
138;4025768668
139;5867028478
140;5898171337
141;7101646682
142;8259270980
143;3876349734
144;2613019846
145;4667124735
146;3814155999
147;5878499737
148;3046360578
149;4363906178
150;9964118862
151;6259199182
152;2686737151
153;1499403097
154;9418131543
155;5188295133
156;4393193127
157;8340559236
158;7808763830
159;4886491587
160;3701659380
161;7103662704
162;4967997865
163;9679879839
164;7870049784
165;9393624260
166;2977656008
167;2593349642
168;9247158890
169;4198568418
170;1860218037
171;7864948460
172;6240696322
173;9345211622
174;3428872993
175;8198322608
176;2011930621
177;6944878960
178;2428038993
179;7172996673
180;6915964616
181;6956760407
182;7168481413
183;1515054195
184;5957795344
185;2923265052
186;4810609679
